SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,ModifiedDate
44074,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44074,PO20213115982,10-4020-000216,29592,275,2,778,778,5,17368,125058Vi90218,NULL,844.1043,80.9856,25.308,950.3979,NULL,09/08/05
44075,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44075,PO20155139653,10-4020-000092,29632,283,1,843,843,5,13278,115078Vi68861,NULL,26447.022,2538.7545,793.3608,29779.1373,NULL,09/08/05
44076,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44076,PO19720140502,10-4020-000562,30003,277,3,620,620,5,15448,75088Vi79780,NULL,4079.988,391.6788,122.3996,4594.0664,NULL,09/08/05
44077,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44077,PO19401178507,10-4020-000173,29714,282,6,473,473,5,6065,45149Vi31551,810,6105.3293,584.8735,182.773,6872.9758,NULL,09/08/05
44078,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44078,PO19169159771,10-4020-000272,29622,283,1,863,863,5,7829,95168Vi40533,NULL,28045.3358,2702.18,844.4313,31591.9471,NULL,09/08/05
44079,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44079,PO19488118734,10-4020-000057,29967,277,3,565,565,5,19011,65211Vi98768,NULL,25706.4831,2467.5891,771.1216,28945.1938,NULL,09/08/05
44080,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44080,PO18937118744,10-4020-000439,29733,276,4,1062,1062,5,7604,55229Vi39391,NULL,11.4,0.988,0.3088,12.6968,NULL,09/08/05
44081,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44081,PO18299115585,10-4020-000118,29950,282,6,463,463,5,5110,105343Vi26747,810,37536.9632,3611.562,1128.6131,42277.1383,NULL,09/08/05
44082,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44082,PO17690137364,10-4020-000047,29803,274,6,452,452,5,8552,125349Vi44231,810,2039.994,195.8394,61.1998,2297.0332,NULL,09/08/05
44083,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44083,PO17719115878,10-4020-000631,29969,278,6,548,548,5,7454,55359Vi38653,810,1362.3067,130.1463,40.6707,1533.1237,NULL,09/08/05
44084,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44084,PO17835143404,10-4020-000551,29494,282,6,537,537,5,17600,15361Vi91370,810,8129.976,780.4777,243.8993,9154.353,NULL,09/08/05
44085,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44085,PO17545192039,10-4020-000155,29639,282,6,470,470,5,4357,85389Vi22856,810,20644.2343,1981.2698,619.1468,23244.6509,NULL,09/08/05
44086,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44086,PO17574175064,10-4020-000678,29722,282,6,555,555,5,12698,65401Vi65677,810,73761.5266,7108.6377,2221.4493,83091.6136,NULL,09/08/05
44087,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44087,PO16095130285,10-4020-000096,29944,276,4,1004,1004,5,8033,15594Vi41642,NULL,5007.72,482.6446,150.8264,5641.191,NULL,09/08/05
44088,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44088,PO16269137565,10-4020-000624,29842,281,4,1094,1094,5,11056,105604Vi57044,NULL,419.4589,40.2681,12.5838,472.3108,NULL,09/08/05
44089,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44089,PO15950135717,10-4020-000114,29673,276,4,1007,1007,5,18407,95639Vi95621,NULL,2097.2945,201.3403,62.9188,2361.5536,NULL,09/08/05
44090,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44090,PO15834170093,10-4020-000417,29659,277,4,605,605,5,17935,95655Vi93027,NULL,6654.7023,634.7888,198.3715,7487.8626,NULL,09/08/05
44091,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44091,PO15863179138,10-4020-000545,29914,281,4,1079,1079,5,16253,45659Vi84045,NULL,4492.7043,429.1119,134.0975,5055.9137,NULL,09/08/05
44092,3,9/1/2005,9/13/2005,9/8/2005,5,0,SO44092,PO15167143312,10-4020-000273,30090,277,4,589,589,5,7126,115751Vi36971,NULL,4075.0341,393.8955,123.0923,4592.0219,NULL,09/08/05
44134,3,9/1/2005,9/13/2005,9/8/2005,5,1,SO44134,NULL,10-4030-013821,13821,NULL,10,24945,24945,1,18596,1031049Vi96646,815,3578.27,286.2616,89.4568,3953.9884,NULL,09/08/05
